"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000036707",3862.22471373004,0.0103806741147912,0.0382449131032113,0.378998537473192,0.999631843368906,"Cab39","Cab39","12283"
"ENSMUSG00000036712",3310.11659296561,0.0160422154296761,0.0423465120508543,0.124070545242211,0.980986432630886,"Cyld","Cyld","74256"
"ENSMUSG00000036718",255.254285119367,0.00230579531778803,0.0389077582704012,0.580412679749411,0.999631843368906,"Micall2","Micall2","231830"
"ENSMUSG00000036721",332.481608042211,0.00287243011826065,0.0382166235741691,0.737109976722983,0.999631843368906,"Zscan12","Zscan12","22758"
"ENSMUSG00000036731",0,NA,NA,NA,NA,"Cysrt1","Cysrt1","67859"
"ENSMUSG00000036733",1185.59947251976,0.0104664321715873,0.0393108817955064,0.345686416229186,0.999631843368906,"Rbm42","Rbm42","68035"
"ENSMUSG00000036737",1270.42978103804,-0.00214761000761685,0.0370374507369905,0.857707350199522,0.999631843368906,"Oxsr1","Oxsr1","108737"
"ENSMUSG00000036743",15.3514146987223,-0.00175355297458807,0.0390727015732864,0.337944967625267,0.999631843368906,"Psma8","Psma8","73677"
"ENSMUSG00000036744",0,NA,NA,NA,NA,"Olfr701","Olfr701","66786"
"ENSMUSG00000036745",702.649201576874,0.00179738580883461,0.0381581835698591,0.83178803371484,0.999631843368906,"Ttll7","Ttll7","70892"
"ENSMUSG00000036748",703.636402096709,-0.0024125132864964,0.0377476156664222,0.821863086504635,0.999631843368906,"Cuedc2","Cuedc2","67116"
"ENSMUSG00000036749",0,NA,NA,NA,NA,"Pramel5","Pramel5","384077"
"ENSMUSG00000036751",2368.15921566009,0.00304009367899468,0.0371264157856982,0.805382677042784,0.999631843368906,"Cox6b1","Cox6b1","110323"
"ENSMUSG00000036752",3083.26133951255,0.0142192037873766,0.0398129662192727,0.258012832039812,0.999631843368906,"Tubb4b","Tubb4b","227613"
"ENSMUSG00000036760",9189.90214262021,-0.0486598399887501,0.0912333389412487,0.0123755930228576,0.541680709863412,"Kcnk9","Kcnk9","223604"
"ENSMUSG00000036764",250.936028327928,0.000887407507319049,0.0385188388010755,0.569270436661465,0.999631843368906,"Dnajc12","Dnajc12","30045"
"ENSMUSG00000036766",68.4087199208909,-0.000178004782624456,0.0388350863590548,0.963774596690532,0.999631843368906,"Dner","Dner","227325"
"ENSMUSG00000036768",28.8921026773485,-0.00128122206518672,0.0390282169633201,0.546172214001661,0.999631843368906,"Kif15","Kif15","209737"
"ENSMUSG00000036769",370.289124722038,0.0188153493589956,0.0450707432855489,0.0260096764006682,0.690786005240978,"Wdr44","Wdr44","72404"
"ENSMUSG00000036770",0,NA,NA,NA,NA,"Stpg3","Stpg3","74472"
"ENSMUSG00000036775",567.262143200061,-0.0105348719322853,0.0398539655002874,0.269205499692881,0.999631843368906,"Decr2","Decr2","26378"
"ENSMUSG00000036777",84.574500916955,-0.0103314674338526,0.0407958374503426,0.0384093587374823,0.779305004144315,"Anln","Anln","68743"
"ENSMUSG00000036779",883.497191794583,-0.00389799068550784,0.0377082251205096,0.714439746999856,0.999631843368906,"Tent4b","Tent4b","214627"
"ENSMUSG00000036781",931.212513237359,0.00258103763306566,0.0373967970888476,0.931793620301203,0.999631843368906,"Rps27l","Rps27l","67941"
"ENSMUSG00000036782",556.586761286893,0.0222270460916638,0.0470115934989397,0.045362122371164,0.810053165216982,"Klhl13","Klhl13","67455"
"ENSMUSG00000036790",36.5970665768738,-0.00171431172175871,0.0390114072314622,0.517720107742064,0.999631843368906,"Slitrk2","Slitrk2","245450"
"ENSMUSG00000036792",594.892125984573,-0.0207099310324276,0.04528115800421,0.0853775706264252,0.940459639068362,"Mbd5","Mbd5","109241"
"ENSMUSG00000036800",8.80075000937972,0.000251917057940765,0.0390317707329666,0.85725415690197,0.999631843368906,"Fam135b","Fam135b","70363"
"ENSMUSG00000036805",0,NA,NA,NA,NA,"Noxa1","Noxa1","241275"
"ENSMUSG00000036810",544.864062704194,-0.00506808659655898,0.0384904847757629,0.559954730172557,0.999631843368906,"Cnep1r1","Cnep1r1","382030"
"ENSMUSG00000036813",0,NA,NA,NA,NA,"Entpd8","Entpd8","72090"
"ENSMUSG00000036814",3.19418227119918,0.000343616423335261,0.0390465881417154,0.720081836544774,NA,"Slc6a20a","Slc6a20a","102680"
"ENSMUSG00000036815",50.5442785176987,-0.0042639659877252,0.0392849628930587,0.162392856143788,0.999631843368906,"Dpp10","Dpp10","269109"
"ENSMUSG00000036816",0,NA,NA,NA,NA,"Atoh7","Atoh7","53404"
"ENSMUSG00000036817",2476.6351747669,-0.0172622604442836,0.0422089799943022,0.112295560625029,0.974524147185822,"Sun1","Sun1","77053"
"ENSMUSG00000036819",360.508696726567,0.0105425171768557,0.0399277351907324,0.260975152904557,0.999631843368906,"Jmjd4","Jmjd4","194952"
"ENSMUSG00000036820",359.702524564995,-0.00201696313768477,0.0382252059187539,0.80384123027374,0.999631843368906,"Amdhd2","Amdhd2","245847"
"ENSMUSG00000036822",1219.31889471154,-0.00564264455773779,0.0372128153000573,0.654270325193065,0.999631843368906,"Topors","Topors","106021"
"ENSMUSG00000036825",272.754566350734,-0.000584883458198917,0.0383539356319023,0.931213145386712,0.999631843368906,"Ssx2ip","Ssx2ip","99167"
"ENSMUSG00000036826",5.5659054227522,0.00282492834918783,0.0391997516891897,0.00773060723569371,0.446678628043002,"Igflr1","Igflr1","101883"
"ENSMUSG00000036832",3.51017999930854,0.00104974808644299,0.0390653161695535,0.29547051499671,NA,"Lpar3","Lpar3","65086"
"ENSMUSG00000036833",816.204789476817,-0.00376652894341298,0.0378265346753207,0.649742233955172,0.999631843368906,"Pnpla7","Pnpla7","241274"
"ENSMUSG00000036834",3.52386237955162,-0.000126340466451455,0.0390437872857144,0.898808243594667,NA,"Plch1","Plch1","269437"
"ENSMUSG00000036835",691.346102985562,0.00138028104554263,0.0379214797519559,0.97958394572212,0.999631843368906,"Psenen","Psenen","66340"
"ENSMUSG00000036840",382.722444794628,-0.00748596427478256,0.0389492881227639,0.409905776980399,0.999631843368906,"Siah1a","Siah1a","20437"
"ENSMUSG00000036845",303.655211896658,0.00163320462441834,0.0382823850382112,0.834885906087425,0.999631843368906,"Lin37","Lin37","75660"
"ENSMUSG00000036850",538.709725561119,-0.0112276955067015,0.0401652293671365,0.234940855482271,0.999631843368906,"Mrpl41","Mrpl41","107733"
"ENSMUSG00000036853",0.240334293967295,-0.000149799623916093,0.0390564937374526,0.789243799495965,NA,"Mcoln3","Mcoln3","171166"
"ENSMUSG00000036854",313.276258296783,-0.00610903571740357,0.0392166284046397,0.339804034338802,0.999631843368906,"Hspb6","Hspb6","243912"
"ENSMUSG00000036855",0,NA,NA,NA,NA,"Gjd4","Gjd4","225152"
"ENSMUSG00000036856",2749.9082772056,-0.00685932710006931,0.0386893697728116,0.433156029090983,0.999631843368906,"Wnt4","Wnt4","22417"
"ENSMUSG00000036858",1.60100422724347,0.000820003306655742,0.0390652385340753,0.165612316518252,NA,"Ptcra","Ptcra","19208"
"ENSMUSG00000036860",340.729122275628,-0.000995967064037157,0.0380194472412345,0.874279988565071,0.999631843368906,"Mrpl55","Mrpl55","67212"
"ENSMUSG00000036862",746.427712776128,-0.00787244822988867,0.0390291679847854,0.421064417115961,0.999631843368906,"Dchs1","Dchs1","233651"
"ENSMUSG00000036863",206.513926313006,0.000801209891010673,0.0384659238881036,0.906750341429093,0.999631843368906,"Syde2","Syde2","214804"
