,recording,pos,animal,genotype,genotype_2,control,start,dt,end,angiotensin,potassium,TTA-P2,isra,start_corr,end_corr,activity,num_events,len_seg,ISI,intraburst_freq,burst_num_spikes,burst_length,burst_n,burst_per_cell_per_sec,activity_pos1,freq_pos1,burst_length_pos1,burst_n_pos1,burst_per_cell_per_sec_pos1,ISI_pos1,activity_pos2,freq_pos2,burst_length_pos2,burst_n_pos2,burst_per_cell_per_sec_pos2,ISI_pos2,activity_pos3,freq_pos3,burst_length_pos3,burst_n_pos3,burst_per_cell_per_sec_pos3,ISI_pos3,freq_exist,count,rel_activity,rel_intraburst_freq,rel_freq_pos1
12,220603_slice02_rec01_5TTAP2_300isra_results.csv,1,5251,wt,wt,n,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.6449074074074074,77.38888888888889,120.0,29.725,0.7312474394844217,26.666666666666668,49.6,1.6666666666666667,0.013888888888888834,0.6449074074074074,0.7312474394844217,49.6,1.6666666666666667,0.013888888888888834,29.725,,,,,,,,,,,,,1.0,18.0,1.0700446773166135,0.8495931653894363,0.8495931653894363
13,220603_slice02_rec01_5TTAP2_300isra_results.csv,2,5251,wt,wt,n,3600.0,0.1,9600.0,500.0,4.0,5.0,0.0,8400.0,9600.0,0.048148148148148134,5.777777777777778,120.0,65.3,1.0428426326949858,27.166666666666668,26.03333333333333,1.3333333333333333,0.011111111111111066,0.6449074074074074,0.7312474394844217,49.6,1.6666666666666667,0.013888888888888834,29.725,0.048148148148148134,1.0428426326949858,26.03333333333333,1.3333333333333333,0.011111111111111066,65.3,,,,,,,1.0,3.0,0.15529341974129862,1.3680162002523322,0.8495931653894363
14,220603_slice02_rec01_5TTAP2_300isra_results.csv,3,5251,wt,wt,n,9600.0,0.1,19760.0,500.0,4.0,5.0,0.3,14400.0,15600.0,0.0,0.0,120.0,,,,,,,0.6449074074074074,0.7312474394844217,49.6,1.6666666666666667,0.013888888888888834,29.725,0.048148148148148134,1.0428426326949858,26.03333333333333,1.3333333333333333,0.011111111111111066,65.3,0.0,,,,,,,,0.0,,0.8495931653894363
15,220603_slice03_rec01_ctrl_dp_results.csv,1,5251,wt,wt_ctrl,y,0.0,0.1,3900.0,500.0,4.0,0.0,0.0,2700.0,3900.0,0.7054487179487179,84.65384615384616,120.0,27.991666666666664,0.8805651688741835,20.25,24.450000000000003,2.5,0.0208333333333333,0.7054487179487179,0.8805651688741835,24.450000000000003,2.5,0.0208333333333333,27.991666666666664,,,,,,,,,,,,,1.0,26.0,1.170496162845259,1.0230766068500385,1.0230766068500385
16,220603_slice03_rec01_ctrl_dp_results.csv,2,5251,wt,wt_ctrl,y,3900.0,0.1,9900.0,500.0,4.0,0.0,0.0,8700.0,9900.0,0.42884615384615377,51.46153846153846,120.0,22.87,0.734903416233167,29.541666666666668,39.0,1.5,0.012499999999999957,0.7054487179487179,0.8805651688741835,24.450000000000003,2.5,0.0208333333333333,27.991666666666664,0.42884615384615377,0.734903416233167,39.0,1.5,0.012499999999999957,22.87,,,,,,,1.0,26.0,1.3831681660685786,0.9640570374742305,1.0230766068500385
17,220603_slice03_rec01_ctrl_dp_results.csv,3,5251,wt,wt_ctrl,y,9901.0,0.1,21000.0,500.0,4.0,0.0,0.0,14701.0,15901.0,0.32628205128205123,39.15384615384615,120.0,48.71,0.6493815571214062,25.272727272727273,39.13636363636363,1.4545454545454546,0.012121212121212083,0.7054487179487179,0.8805651688741835,24.450000000000003,2.5,0.0208333333333333,27.991666666666664,0.42884615384615377,0.734903416233167,39.0,1.5,0.012499999999999957,22.87,0.32628205128205123,0.6493815571214062,39.13636363636363,1.4545454545454546,0.012121212121212083,48.71,1.0,22.0,1.5720282520878524,0.9143317486965417,1.0230766068500385
18,220607_slice01_rec01_5TTAP2_300isra_results.csv,1,5255,wt,wt,n,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.5557291666666666,66.6875,120.0,22.099999999999998,0.6710320307002077,14.6,32.010000000000005,1.6,0.01333333333333328,0.5557291666666666,0.6710320307002077,32.010000000000005,1.6,0.01333333333333328,22.099999999999998,,,,,,,,,,,,,1.0,32.0,0.9220781619051902,0.7796324421214416,0.7796324421214416
19,220607_slice01_rec01_5TTAP2_300isra_results.csv,2,5255,wt,wt,n,3600.0,0.1,9600.0,500.0,4.0,5.0,0.0,8400.0,9600.0,0.14583333333333331,17.5,120.0,18.450000000000003,0.8032183136271446,20.166666666666668,24.21666666666667,1.0,0.0083333333333333,0.5557291666666666,0.6710320307002077,32.010000000000005,1.6,0.01333333333333328,22.099999999999998,0.14583333333333331,0.8032183136271446,24.21666666666667,1.0,0.0083333333333333,18.450000000000003,,,,,,,1.0,12.0,0.47035987710104876,1.053673517874559,0.7796324421214416
20,220607_slice01_rec01_5TTAP2_300isra_results.csv,3,5255,wt,wt,n,9600.0,0.1,18370.0,500.0,4.0,5.0,0.3,14400.0,15600.0,0.0,0.0,120.0,,,,,,,0.5557291666666666,0.6710320307002077,32.010000000000005,1.6,0.01333333333333328,22.099999999999998,0.14583333333333331,0.8032183136271446,24.21666666666667,1.0,0.0083333333333333,18.450000000000003,0.0,,,,,,,,0.0,,0.7796324421214416
21,220607_slice03_rec01_ctrl_dp_results.csv,1,5255,wt,wt_ctrl,y,0.0,0.1,3600.0,500.0,4.0,0.0,0.0,2400.0,3600.0,0.52125,62.55,120.0,44.278571428571425,1.0017899030753974,33.0,32.975,1.875,0.015624999999999964,0.52125,1.0017899030753974,32.975,1.875,0.015624999999999964,44.278571428571425,,,,,,,,,,,,,1.0,18.0,0.8648695636688982,1.1639204581818372,1.1639204581818372
