,bin,baseline_ca,pos,cell,recording,animal,ctrl
55,16.0,885.1709572320516,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
56,17.0,862.3077753388588,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
57,18.0,858.3704459000076,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
58,19.0,852.2766717663252,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
59,20.0,846.0836596177318,3,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
60,21.0,888.100022877221,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
61,22.0,,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
62,23.0,872.6496597550534,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
63,24.0,861.7846088045388,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
64,25.0,898.5209670448664,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
65,26.0,907.6085201911881,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
66,27.0,922.2324992889259,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
67,28.0,920.8336651358003,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
68,29.0,934.5672955220092,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
69,30.0,937.3340404631143,4,Mean11,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
70,-4.0,1059.792442538128,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
71,-3.0,1032.1336656033263,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
72,-2.0,996.8831151058837,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
73,-1.0,1004.1072023565215,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
74,0.0,979.627310333548,1,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
75,1.0,956.5816954985299,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
76,2.0,946.7627675098315,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
77,3.0,944.0430467123385,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
78,4.0,,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
79,5.0,908.0517713557905,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
80,6.0,908.6650786411233,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
81,7.0,870.0064149577795,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
82,8.0,853.344515719904,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
83,9.0,838.4387364589786,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
84,10.0,878.4653560160277,2,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
85,11.0,867.248116415344,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
86,12.0,883.020547502192,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
87,13.0,855.6453958799347,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
88,14.0,849.0985209012804,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
89,15.0,860.9590056401586,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
90,16.0,826.9933830281245,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
91,17.0,842.2160411697328,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
92,18.0,860.121371964661,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
93,19.0,891.5411493663836,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
94,20.0,860.7256861696355,3,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
95,21.0,855.9601803206139,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
96,22.0,851.4882366742905,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
97,23.0,865.1742145014653,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
98,24.0,850.7589382272421,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
99,25.0,853.7885024929541,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
100,26.0,,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
101,27.0,,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
102,28.0,,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
103,29.0,,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
104,30.0,,4,Mean12,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
105,-4.0,,1,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
106,-3.0,899.8537048513616,1,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
107,-2.0,860.061498572532,1,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
108,-1.0,849.7200302472752,1,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
109,0.0,839.4908156320454,1,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
110,1.0,832.1647370024876,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
111,2.0,,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
112,3.0,,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
113,4.0,847.5987199388985,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
114,5.0,822.9984116832405,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
115,6.0,824.0177985448198,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
116,7.0,,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
117,8.0,,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
118,9.0,800.8234215019311,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
119,10.0,791.9171107780084,2,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
120,11.0,782.5556504571575,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
121,12.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
122,13.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
123,14.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
124,15.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
125,16.0,800.2501783736427,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
126,17.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
127,18.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
128,19.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
129,20.0,,3,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
130,21.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
131,22.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
132,23.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
133,24.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
134,25.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
135,26.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
136,27.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
137,28.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
138,29.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
139,30.0,,4,Mean13,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
140,-4.0,896.0865157343459,1,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
141,-3.0,869.22185961167,1,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
142,-2.0,868.9988490821479,1,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
143,-1.0,861.7971912471373,1,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
144,0.0,856.1055213388034,1,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
145,1.0,871.983311224118,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
146,2.0,868.955223208994,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
147,3.0,877.6196193982106,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
148,4.0,859.5706827859404,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
149,5.0,869.0869878730017,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
150,6.0,877.8487599873292,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
151,7.0,899.5923692553232,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
152,8.0,920.115843704933,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
153,9.0,883.8855086906815,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
154,10.0,870.7661756648287,2,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
155,11.0,898.3309167834364,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
156,12.0,864.7760835948003,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
157,13.0,866.2066814700894,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
158,14.0,905.5469664579125,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
159,15.0,917.0815234781361,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
160,16.0,884.084477350935,3,Mean16,230223_slice03_ttap2_isra_ctrl_results.csv,114001,y
