"","baseMean","log2FoldChange","lfcSE","pvalue","padj","GENENAME","SYMBOL","ENTREZID"
"ENSMUSG00000062901",2705.89650829057,-0.0176059133866367,0.0606105041270721,0.446682263539095,0.866254032622452,"Klhl24","Klhl24","75785"
"ENSMUSG00000062905",0,NA,NA,NA,NA,"Vmn1r32","Vmn1r32","171188"
"ENSMUSG00000062906",221.902184392474,-0.129942887789982,0.156092319215162,0.0205046817385882,0.287834108619623,"Hdac10","Hdac10","170787"
"ENSMUSG00000062908",7225.45237360624,0.0160729003417599,0.0559691342483016,0.616550530581686,0.926859533523948,"Acadm","Acadm","11364"
"ENSMUSG00000062914",0,NA,NA,NA,NA,"Olfr777","Olfr777","258537"
"ENSMUSG00000062929",2417.65090571691,0.0104483158832885,0.058954707792364,0.696733371171168,0.950289119453207,"Cfl2","Cfl2","12632"
"ENSMUSG00000062931",205.213761082893,-0.031983721655614,0.0598990540503466,0.331477451167632,0.808299015746097,"Zfp938","Zfp938","237411"
"ENSMUSG00000062933",4817.80537406783,0.0154454527666115,0.0581651989055622,0.448828985519169,0.867330858626018,"Gm10123","Gm10123",NA
"ENSMUSG00000062937",1179.23228395403,0.000132485201795382,0.0581114799119161,0.989876060634579,0.999518565861016,"Mtap","Mtap","66902"
"ENSMUSG00000062939",16.7070923646628,0.0128261111720793,0.0656881904023412,0.328466377885124,0.807056171610615,"Stat4","Stat4","20849"
"ENSMUSG00000062944",253.449117110538,-0.00240251831374482,0.0583398232184125,0.922994029282127,0.991564112668078,"9130023H24Rik","9130023H24Rik","100043133"
"ENSMUSG00000062949",858.395568918514,0.153495191283581,0.0819853390719261,0.00574227299227555,0.159698489832419,"Atp11c","Atp11c","320940"
"ENSMUSG00000062952",0,NA,NA,NA,NA,"Tas2r110","Tas2r110","387344"
"ENSMUSG00000062960",6291.14530467208,0.0109170166350358,0.0639934932171035,0.53774838670736,0.903616274584756,"Kdr","Kdr","16542"
"ENSMUSG00000062961",1.47287919001847,-0.00356188835130573,0.065273751719164,0.314383571596685,NA,"Ccdc177","Ccdc177","380768"
"ENSMUSG00000062962",0,NA,NA,NA,NA,"Gm6378","Gm6378","622978"
"ENSMUSG00000062963",2118.16882091875,0.0221407470341038,0.0471773107466827,0.509660693912797,0.891559868481265,"Ufc1","Ufc1","66155"
"ENSMUSG00000062980",2243.43163629163,-0.0108097026337507,0.0557672776858495,0.717137809529359,0.955964249341769,"Cped1","Cped1","214642"
